ts,value
2025-12-08 13:15:00,1.378439
2025-12-12 09:49:40,1.3074971
2026-02-09 00:37:20,1.3136055
2026-02-09 18:55:50,1.3058414
2026-02-09 19:40:40,1.3109987
2026-02-09 21:07:30,1.2973177
2026-02-14 10:22:10,1.3457544
2026-02-19 16:35:50,1.3056623
2026-02-19 16:58:20,1.3221189
2026-02-19 23:59:30,1.3159372
2026-02-24 15:44:37,1.3573687
2026-02-24 16:57:05,1.3456322
2026-02-24 17:05:29,1.35387825
2026-02-24 17:10:01,1.3547506
2026-02-24 18:26:43,1.307253
2026-02-24 18:31:13,1.34548655
2026-02-24 18:39:08,1.3387679
2026-02-24 18:43:57,1.3348377
2026-02-24 18:48:23,1.3278987
2026-02-24 18:52:32,1.3227124
2026-02-24 18:59:58,1.3196018
2026-02-24 19:12:10,1.3317845
2026-02-24 19:20:15,1.3346238
2026-02-24 19:26:20,1.3359188
2026-02-24 19:30:56,1.3362725
2026-02-24 19:36:00,1.33577575
2026-02-24 19:42:16,1.3357159
2026-02-24 19:45:25,1.3411772
2026-02-24 19:51:03,1.3439303
2026-02-24 19:55:42,1.3439713
2026-02-24 20:00:51,1.3424816
2026-02-24 20:11:23,1.3303165
2026-02-24 20:19:55,1.3174401
2026-02-24 20:37:02,1.3115363
2026-02-24 20:41:09,1.3140265
2026-02-24 20:57:48,1.3079228
2026-02-25 02:26:46,1.3455215
2026-02-25 02:41:54,1.3411252
2026-02-25 02:47:07,1.3354347
2026-02-25 02:52:22,1.34379655
2026-02-25 02:56:47,1.3451369
2026-02-25 03:03:12,1.3455643
2026-02-25 03:09:17,1.3386356
2026-02-25 03:17:50,1.3322332
2026-02-25 03:23:43,1.3175204
2026-02-25 03:31:57,1.31721215
2026-02-25 03:36:51,1.3375494
2026-02-25 03:41:40,1.3542229
2026-02-25 03:54:52,1.30843655
2026-02-25 04:02:45,1.3083494
2026-02-25 04:15:55,1.30016875
2026-02-25 04:21:42,1.3030161
2026-02-25 06:18:42,1.3199144
2026-02-25 15:00:46,1.355806
2026-02-25 15:07:05,1.3594789
2026-02-25 15:13:01,1.34071965
2026-02-25 15:19:58,1.3468016
2026-02-25 15:26:40,1.3466196
2026-02-25 16:07:35,1.3073994
2026-02-25 16:25:38,1.348462
2026-02-25 18:17:00,1.3139944
2026-02-25 18:42:16,1.3050027
2026-02-25 18:53:42,1.3106754
2026-02-25 19:04:13,1.3209264
2026-02-25 19:09:23,1.3233926
2026-02-25 19:37:40,1.3011283
2026-02-25 19:58:50,1.2961692
2026-02-25 20:12:21,1.291361
2026-02-25 22:03:36,1.37867745
2026-02-25 22:43:03,1.3514256
2026-02-25 23:02:39,1.338273
2026-02-25 23:21:14,1.3616521
2026-02-25 23:45:22,1.3559444
2026-02-25 23:48:03,1.349633
2026-02-25 23:55:15,1.3532596
2026-02-26 02:21:57,1.38647185
2026-02-26 06:59:18,1.37197405
2026-02-26 08:30:19,1.3504717
2026-02-26 08:46:39,1.3610656
2026-02-26 08:58:12,1.36073155
2026-02-26 09:14:16,1.3565258
2026-02-26 09:23:22,1.3526169
2026-02-26 09:26:54,1.35695325
2026-02-26 09:30:23,1.3625548
2026-02-26 09:41:01,1.36666
2026-02-26 09:44:22,1.3682592
2026-02-26 09:47:58,1.3694793
2026-02-26 10:11:00,1.297334
2026-02-26 10:15:49,1.29634375
2026-02-26 10:19:05,1.2938167
2026-02-26 10:28:03,1.30240595
2026-03-09 09:27:00,1.3459615
2026-03-10 19:25:30,1.3450038
2026-03-13 05:29:50,1.337221
2026-03-14 13:15:37,1.35506585
2026-03-14 13:22:17,1.3565179
2026-03-14 13:26:15,1.3567094
2026-03-14 13:29:26,1.3565822
2026-03-14 13:31:20,1.3564398
2026-03-14 13:35:28,1.3552226
2026-03-14 13:40:42,1.3540821
2026-03-14 13:48:13,1.3591828
2026-03-14 13:51:28,1.3618422
2026-03-14 13:53:25,1.3630658
2026-03-14 13:57:19,1.3635137
2026-03-14 14:02:50,1.3632338
2026-03-14 14:13:26,1.3636671
2026-03-14 20:59:31,1.3147169
2026-03-14 21:04:58,1.3148539
2026-03-14 21:06:58,1.3158702
2026-03-14 21:14:04,1.3165479
2026-03-14 21:16:45,1.3151305
2026-03-14 21:23:07,1.3162473
2026-03-14 21:26:59,1.3162334
2026-03-14 21:33:45,1.3078856
2026-03-14 21:38:04,1.3546034
2026-03-14 21:47:20,1.3489278
2026-03-14 21:49:46,1.34756245
2026-03-14 21:52:01,1.3436192
2026-03-14 22:02:34,1.33958415
2026-03-14 22:09:23,1.338224
2026-03-14 22:15:08,1.3341013
2026-03-14 22:17:08,1.3381413
2026-03-14 22:25:42,1.3421246
2026-03-14 23:02:25,1.3384185
2026-03-27 13:50:40,1.3096426
2026-03-27 19:27:40,1.3011485
2026-03-28 10:05:40,1.3488593
2026-03-28 10:29:00,1.3147552
2026-04-07 09:27:20,1.3823621
2026-04-07 10:18:20,1.3159796
2026-04-07 10:46:00,1.3328929
2026-04-07 11:11:40,1.3245655
2026-04-07 11:38:20,1.3214076
