ts,value
2025-12-07 00:53:00,2.5208333
2025-12-10 08:40:50,2.671875
2025-12-12 19:03:30,2.5572917
2025-12-14 06:35:10,2.7060184
2025-12-14 08:03:40,2.791088
2025-12-14 10:46:30,2.8119215
2025-12-14 11:36:20,2.8061342
2025-12-14 22:09:50,2.7372685
2025-12-17 11:01:00,2.59375
2025-12-17 11:26:40,2.5983796
2025-12-17 13:04:30,2.7193287
2025-12-17 14:32:50,2.707176
2025-12-17 18:21:50,2.667824
2025-12-19 11:13:50,2.64294
2025-12-19 12:18:30,2.6481482
2025-12-27 20:53:50,2.537037
2025-12-28 12:47:00,2.597801
2025-12-28 14:05:40,2.523727
2026-01-03 01:32:10,2.8408566
2026-01-07 05:15:00,2.6435184
2026-01-07 05:47:50,2.6782408
2026-01-07 07:32:20,2.6307872
2026-01-07 13:40:10,2.8622684
2026-01-14 11:17:40,2.695023
2026-01-19 21:40:30,2.7320603
2026-01-20 04:54:50,2.6927084
2026-01-22 07:26:20,2.707176
2026-01-22 08:39:20,2.779514
2026-01-27 06:24:40,2.541667
2026-01-27 09:07:20,2.5682873
2026-01-27 13:16:30,2.6145834
2026-01-30 11:23:50,2.757523
2026-02-09 03:15:30,1.9878472
2026-02-09 03:53:50,1.9189815
2026-02-09 08:16:20,1.9045138
2026-02-10 12:55:24,2.2476852
2026-02-10 13:11:35,2.1244214
2026-02-10 14:21:00,2.199074
2026-02-10 19:15:10,2.2054398
2026-02-15 10:47:30,2.1695602
2026-02-15 13:23:10,2.1556714
2026-02-20 06:30:30,2.1927083
2026-02-20 07:29:40,2.2517362
2026-02-20 10:48:20,2.2690974
2026-02-26 11:47:40,2.4976853
2026-02-26 11:58:04,2.4971066
2026-02-26 12:17:01,2.5034723
2026-02-26 12:21:31,2.4901621
2026-02-28 06:02:33,2.4346066
2026-02-28 06:09:30,2.4299769
2026-02-28 06:12:29,2.4311343
2026-02-28 06:17:24,2.4270833
2026-02-28 06:25:07,2.4079862
2026-02-28 06:34:20,2.4033566
2026-02-28 06:50:46,2.4155092
2026-02-28 06:54:36,2.4120371
2026-02-28 07:03:02,2.4149306
2026-02-28 07:08:10,2.4131945
2026-02-28 07:11:00,2.4149306
2026-02-28 07:14:27,2.4160878
2026-02-28 07:18:06,2.4230325
2026-02-28 07:20:57,2.4276622
2026-02-28 07:29:50,2.4398148
2026-02-28 07:36:27,2.4467592
2026-02-28 07:46:43,2.4542825
2026-02-28 07:49:22,2.4525464
2026-02-28 07:54:53,2.4444444
2026-02-28 08:03:05,2.4282408
2026-02-28 08:07:08,2.4230325
2026-02-28 09:05:30,2.4097224
2026-02-28 09:08:21,2.414352
2026-02-28 09:10:53,2.4166667
2026-02-28 09:21:06,2.4184027
2026-02-28 09:24:14,2.4181134
2026-02-28 09:26:57,2.4160878
2026-02-28 09:30:32,2.4108796
2026-02-28 09:40:33,2.4039352
2026-02-28 09:44:24,2.3923612
2026-02-28 09:53:33,2.3784724
2026-02-28 10:01:34,2.379051
2026-02-28 10:15:23,2.3888889
2026-02-28 21:10:42,2.3709491
2026-02-28 21:16:36,2.366898
2026-02-28 21:21:57,2.367477
2026-03-02 16:26:34,2.4004629
2026-03-02 18:58:00,2.3582175
2026-03-02 19:31:20,2.3547454
2026-03-02 19:35:27,2.355324
2026-03-02 19:41:41,2.3622684
2026-03-02 21:11:01,2.3616898
2026-03-02 21:14:01,2.3547454
2026-03-02 21:18:27,2.3489583
2026-03-02 21:20:39,2.3408566
2026-03-02 21:42:04,2.3414353
2026-03-02 21:46:16,2.3344909
2026-03-02 21:49:55,2.332176
2026-03-02 21:52:04,2.3275463
2026-03-02 21:58:17,2.3229168
2026-03-02 22:01:17,2.3177083
2026-03-02 22:06:31,2.3188658
2026-03-02 22:11:10,2.3182872
2026-03-02 22:14:40,2.3182872
2026-03-02 22:20:32,2.3136576
2026-03-02 22:42:58,2.3130786
2026-03-02 22:47:21,2.320602
2026-03-02 22:57:57,2.3194444
2026-03-02 23:05:35,2.3148148
2026-03-02 23:11:38,2.316551
2026-03-02 23:16:02,2.3153935
2026-03-02 23:26:32,2.3171297
2026-03-02 23:35:43,2.3148148
2026-03-02 23:45:13,2.3177083
2026-03-02 23:48:48,2.324074
2026-03-02 23:50:41,2.3333333
2026-03-02 23:53:41,2.3391204
2026-03-02 23:57:54,2.336227
2026-03-03 00:01:35,2.3353588
2026-03-03 00:03:52,2.3333333
2026-03-03 00:09:04,2.3356481
2026-03-03 00:25:29,2.3368056
2026-03-03 00:32:07,2.3287037
2026-03-03 00:59:32,2.3333333
2026-03-03 01:18:37,2.3229168
2026-03-03 01:27:56,2.3194444
2026-03-03 01:36:36,2.320023
2026-03-03 01:41:55,2.3234954
