ts,value
2025-12-12 08:40:00,6.406829
2025-12-12 09:22:50,6.327546
2025-12-12 09:40:50,6.3096064
2026-01-09 18:09:40,5.8778936
2026-01-09 18:58:30,5.7413197
2026-01-23 12:13:50,5.749421
2026-01-23 13:46:20,5.778935
2026-02-10 23:00:20,6.7343754
2026-02-11 00:13:30,6.819445
2026-02-11 02:46:40,6.770834
2026-02-11 09:41:50,7.1591437
2026-02-21 20:40:50,7.8952545
2026-02-23 18:14:50,8.703125
2026-02-23 20:11:20,8.795139
2026-02-23 20:59:50,8.771412
2026-02-23 21:51:40,8.8981485
2026-02-23 22:06:30,8.881945
2026-03-02 05:06:23,9.392361
2026-03-02 05:20:15,9.324074
2026-03-02 05:31:05,9.311342
2026-03-02 05:36:45,9.300637
2026-03-02 05:51:22,9.346065
2026-03-02 05:54:36,9.2633104
2026-03-02 06:25:03,9.1336805
2026-03-02 06:30:21,9.135995
2026-03-02 06:36:19,9.1290516
2026-03-02 08:10:22,9.1796875
2026-03-02 08:22:22,9.293982
2026-03-02 08:25:40,9.239294
2026-03-02 08:28:41,9.2239585
2026-03-02 08:31:31,9.28414335
2026-03-02 08:35:08,9.1655093
2026-03-02 08:38:01,9.219329
2026-03-02 08:53:30,9.225116
2026-03-02 09:00:58,9.1663775
2026-03-02 09:06:50,9.2170143
2026-03-02 09:19:45,9.2748845
2026-03-02 09:26:21,9.282408
2026-03-02 12:19:02,9.0902776
2026-03-02 12:59:12,9.0434027
2026-03-12 19:04:02,5.584491
2026-03-12 19:11:00,5.5798614
2026-03-12 19:13:26,5.568866
2026-03-12 20:55:50,5.465278
2026-03-15 19:04:58,5.439236
2026-03-15 21:19:51,5.5422455
2026-03-15 21:38:29,5.545139
2026-03-15 21:41:36,5.5413775
2026-03-15 21:49:04,5.526621
2026-03-15 21:55:39,5.520834
2026-03-17 10:16:40,5.70081
2026-03-18 01:32:10,5.5966437
2026-04-01 09:57:08,6.2077546
2026-04-01 10:01:28,6.197338
2026-04-01 10:27:27,6.164352
2026-04-01 11:27:43,6.159722
2026-04-01 11:32:00,6.1533564
2026-04-01 11:50:44,6.1591434
2026-04-01 12:05:27,6.195602
2026-04-01 12:08:10,6.139468
2026-04-01 12:18:24,6.070602
