ts,value
2025-12-07 00:53:00,1.0283203
2025-12-10 08:40:50,1.062066
2025-12-12 19:03:30,1.0458984
2025-12-14 06:35:10,1.0734591
2025-12-14 08:03:40,1.0936415
2025-12-14 10:46:30,1.0995009
2025-12-14 11:36:20,1.0963542
2025-12-14 22:09:50,1.0940756
2025-12-17 11:01:00,1.0519748
2025-12-17 11:26:40,1.054579
2025-12-17 13:04:30,1.0842013
2025-12-17 14:32:50,1.0849609
2025-12-17 18:21:50,1.0758464
2025-12-19 11:13:50,1.0743272
2025-12-19 12:18:30,1.0723741
2025-12-27 20:53:50,1.0296224
2025-12-28 12:47:00,1.0639106
2025-12-28 14:05:40,1.0546875
2026-01-03 01:32:10,1.070204
2026-01-07 05:15:00,1.0223525
2026-01-07 05:47:50,1.0375434
2026-01-07 07:32:20,1.0181206
2026-01-07 13:40:10,1.1012369
2026-01-14 11:17:40,1.0649956
2026-01-19 21:40:30,1.0383029
2026-01-20 04:54:50,1.01454
2026-01-22 07:26:20,1.0891926
2026-01-22 08:39:20,1.0973307
2026-01-27 06:24:40,1.0490451
2026-01-27 09:07:20,1.0546875
2026-01-27 13:16:30,1.0938585
2026-01-30 11:23:50,1.0633681
2026-02-09 03:15:30,1.0975478
2026-02-09 03:53:50,1.0902778
2026-02-09 08:16:20,1.0564237
2026-02-10 12:55:24,1.1059028
2026-02-10 13:11:35,1.0500216
2026-02-10 14:21:00,1.078125
2026-02-10 19:15:10,1.0904949
2026-02-15 10:47:30,1.0896268
2026-02-15 13:23:10,1.0537109
2026-02-20 06:30:30,1.0327691
2026-02-20 07:29:40,1.0434028
2026-02-20 10:48:20,1.0639106
2026-02-26 11:47:40,1.0461154
2026-02-26 11:58:04,1.04595265
2026-02-26 12:17:01,1.04367405
2026-02-26 12:21:31,1.0461154
2026-02-28 06:02:33,1.0477431
2026-02-28 06:09:30,1.047526
2026-02-28 06:12:29,1.04796
2026-02-28 06:17:24,1.0478516
2026-02-28 06:25:07,1.047526
2026-02-28 06:34:20,1.0501302
2026-02-28 06:50:46,1.0559896
2026-02-28 06:54:36,1.0559896
2026-02-28 07:03:02,1.0557725
2026-02-28 07:08:10,1.0538194
2026-02-28 07:11:00,1.054579
2026-02-28 07:14:27,1.0527344
2026-02-28 07:18:06,1.0531684
2026-02-28 07:20:57,1.0537109
2026-02-28 07:29:50,1.0531684
2026-02-28 07:36:27,1.0516493
2026-02-28 07:46:43,1.0518663
2026-02-28 07:49:22,1.0500759
2026-02-28 07:54:53,1.0519748
2026-02-28 08:03:05,1.0513238
2026-02-28 08:07:08,1.0527344
2026-02-28 09:05:30,1.0483941
2026-02-28 09:08:21,1.0508897
2026-02-28 09:10:53,1.047526
2026-02-28 09:21:06,1.04579
2026-02-28 09:24:14,1.0458442
2026-02-28 09:26:57,1.045139
2026-02-28 09:30:32,1.0500216
2026-02-28 09:40:33,1.0485026
2026-02-28 09:44:24,1.0503472
2026-02-28 09:53:33,1.0512153
2026-02-28 10:01:34,1.0500216
2026-02-28 10:15:23,1.04768885
2026-02-28 21:10:42,1.0197482
2026-02-28 21:16:36,1.0187718
2026-02-28 21:21:57,1.0182291
2026-03-02 16:26:34,1.1051433
2026-03-02 18:58:00,1.08903
2026-03-02 19:31:20,1.086263
2026-03-02 19:35:27,1.0861546
2026-03-02 19:41:41,1.0851779
2026-03-02 21:11:01,1.0806206
2026-03-02 21:14:01,1.0812716
2026-03-02 21:18:27,1.0813802
2026-03-02 21:20:39,1.0809462
2026-03-02 21:42:04,1.0807291
2026-03-02 21:46:16,1.0813259
2026-03-02 21:49:55,1.08176
2026-03-02 21:52:04,1.0820312
2026-03-02 21:58:17,1.0824653
2026-03-02 22:01:17,1.0817058
2026-03-02 22:06:31,1.0821397
2026-03-02 22:11:10,1.0817058
2026-03-02 22:14:40,1.0810547
2026-03-02 22:20:32,1.0810547
2026-03-02 22:42:58,1.0810547
2026-03-02 22:47:21,1.0796441
2026-03-02 22:57:57,1.0797526
2026-03-02 23:05:35,1.07921
2026-03-02 23:11:38,1.07921
2026-03-02 23:16:02,1.0786675
2026-03-02 23:26:32,1.077691
2026-03-02 23:35:43,1.0775825
2026-03-02 23:45:13,1.0757378
2026-03-02 23:48:48,1.0761719
2026-03-02 23:50:41,1.0748698
2026-03-02 23:53:41,1.0746528
2026-03-02 23:57:54,1.0745442
2026-03-03 00:01:35,1.0749241
2026-03-03 00:03:52,1.0732422
2026-03-03 00:09:04,1.0730251
2026-03-03 00:25:29,1.0722656
2026-03-03 00:32:07,1.0724826
2026-03-03 00:59:32,1.069987
2026-03-03 01:18:37,1.0707465
2026-03-03 01:27:56,1.0705295
2026-03-03 01:36:36,1.0698785
2026-03-03 01:41:55,1.0706381
2026-03-03 01:48:37,1.06917325
2026-03-03 01:56:08,1.0692275
2026-03-03 02:06:09,1.0690104
2026-03-03 02:27:04,1.0682509
2026-03-03 02:33:34,1.0680338
2026-03-03 02:35:54,1.0680338
2026-03-03 02:41:30,1.0675998
2026-03-03 02:49:15,1.0671657
2026-03-03 02:52:08,1.0670574
2026-03-03 03:05:49,1.0667318
2026-03-03 03:09:47,1.0665147
2026-03-03 03:15:01,1.0664062
2026-03-03 03:22:40,1.0651041
2026-03-03 03:26:20,1.0651584
2026-03-03 03:29:56,1.0649956
2026-03-03 03:38:29,1.0645616
2026-03-03 03:51:55,1.0630425
2026-03-03 03:55:08,1.0628254
2026-03-03 04:07:37,1.0633681
2026-03-03 04:12:11,1.0616319
2026-03-03 04:27:25,1.0615234
2026-03-03 12:59:40,1.0298394
2026-03-03 17:19:40,1.0750868
2026-03-05 10:12:50,1.0372179
2026-03-07 00:41:20,1.0190972
2026-03-08 20:20:40,1.1000434
2026-03-17 04:39:50,1.0150825
2026-03-18 11:40:00,1.1004775
2026-03-18 12:15:00,1.0985243
2026-03-21 02:55:50,1.092014
2026-03-25 06:56:00,1.0117188
2026-04-01 22:48:40,1.1025391
2026-04-02 00:22:40,1.0769315
2026-04-06 05:50:20,1.0327691
2026-04-06 18:51:00,1.0299479
2026-04-06 21:29:10,1.0568577
2026-04-06 21:48:50,1.0865885
2026-04-06 22:16:10,1.0218098
