ts,value
2025-12-12 08:40:00,64.58791
2025-12-12 09:22:50,64.0765
2025-12-12 09:40:50,64.0765
2026-01-09 18:09:40,60.72003
2026-01-09 18:58:30,59.865486
2026-01-23 12:13:50,60.137077
2026-01-23 13:46:20,60.185078
2026-02-10 23:00:20,68.51959
2026-02-11 00:13:30,68.80663
2026-02-11 02:46:40,68.46154
2026-02-11 09:41:50,65.94912
2026-02-21 20:40:50,79.38357
2026-02-23 18:14:50,80.81153
2026-02-23 20:11:20,85.16958
2026-02-23 20:59:50,85.16958
2026-02-23 21:51:40,90.737404
2026-02-23 22:06:30,91.265
2026-03-02 05:06:23,95.44224
2026-03-02 05:20:15,95.44224
2026-03-02 05:31:05,95.44224
2026-03-02 05:36:45,95.44224
2026-03-02 05:51:22,95.44224
2026-03-02 05:54:36,96.012825
2026-03-02 06:25:03,86.841736
2026-03-02 06:30:21,86.841736
2026-03-02 06:36:19,86.841736
2026-03-02 08:10:22,92.85736
2026-03-02 08:22:22,99.99997
2026-03-02 08:25:40,99.99998
2026-03-02 08:28:41,99.99998
2026-03-02 08:31:31,100.0
2026-03-02 08:35:08,100.0
2026-03-02 08:38:01,100.0
2026-03-02 08:53:30,100.0
2026-03-02 09:00:58,100.0
2026-03-02 09:06:50,100.0
2026-03-02 09:19:45,100.0
2026-03-02 09:26:21,100.0
2026-03-02 12:19:02,100.0
2026-03-02 12:59:12,100.0
2026-03-12 19:04:02,59.74524
2026-03-12 19:11:00,59.74524
2026-03-12 19:13:26,59.74524
2026-03-12 20:55:50,59.43186
2026-03-15 19:04:58,60.330147
2026-03-15 21:19:51,61.531578
2026-03-15 21:38:29,61.531578
2026-03-15 21:41:36,61.531578
2026-03-15 21:49:04,61.531578
2026-03-15 21:55:39,61.531578
2026-03-17 10:16:40,60.51372
2026-03-18 01:32:10,59.793766
2026-04-01 09:57:08,62.283035
2026-04-01 10:01:28,62.283035
2026-04-01 10:27:27,62.283035
2026-04-01 11:27:43,62.283035
2026-04-01 11:32:00,62.283035
2026-04-01 11:50:44,62.283035
2026-04-01 12:05:27,62.283035
2026-04-01 12:08:10,62.283035
2026-04-01 12:18:24,61.409115
