ts,value
2025-12-12 08:40:00,2.7009187
2025-12-12 09:22:50,2.6869938
2025-12-12 09:40:50,2.6815681
2026-01-09 18:09:40,2.710142
2026-01-09 18:58:30,2.6839194
2026-01-23 12:13:50,2.7021847
2026-01-23 13:46:20,2.70544
2026-02-10 23:00:20,2.679398
2026-02-11 00:13:30,2.702908
2026-02-11 02:46:40,2.6846428
2026-02-11 09:41:50,2.7105033
2026-02-21 20:40:50,2.6759622
2026-02-23 18:14:50,2.6828341
2026-02-23 20:11:20,2.6985679
2026-02-23 20:59:50,2.6953125
2026-02-23 21:51:40,2.7137587
2026-02-23 22:06:30,2.7126737
2026-03-02 05:06:23,2.7094185
2026-03-02 05:20:15,2.7087855
2026-03-02 05:31:05,2.708695
2026-03-02 05:36:45,2.7048972
2026-03-02 05:51:22,2.708514
2026-03-02 05:54:36,2.6945891
2026-03-02 06:25:03,2.6826534
2026-03-02 06:30:21,2.6822915
2026-03-02 06:36:19,2.6824725
2026-03-02 08:10:22,2.690972
2026-03-02 08:22:22,2.7045357
2026-03-02 08:25:40,2.7038121
2026-03-02 08:28:41,2.697121
2026-03-02 08:31:31,2.7021847
2026-03-02 08:35:08,2.6948603
2026-03-02 08:38:01,2.6976635
2026-03-02 08:53:30,2.7011899
2026-03-02 09:00:58,2.6940465
2026-03-02 09:06:50,2.7003763
2026-03-02 09:19:45,2.70137085
2026-03-02 09:26:21,2.70770045
2026-03-02 12:19:02,2.6875362
2026-03-02 12:59:12,2.6777706
2026-03-12 19:04:02,2.69178615
2026-03-12 19:11:00,2.6920571
2026-03-12 19:13:26,2.6902487
2026-03-12 20:55:50,2.6828341
2026-03-15 19:04:58,2.6868129
2026-03-15 21:19:51,2.7094185
2026-03-15 21:38:29,2.712312
2026-03-15 21:41:36,2.7122215
2026-03-15 21:49:04,2.708695
2026-03-15 21:55:39,2.7077909
2026-03-17 10:16:40,2.7081525
2026-03-18 01:32:10,2.675058
2026-04-01 09:57:08,2.711046
2026-04-01 10:01:28,2.709961
2026-04-01 10:27:27,2.703993
2026-04-01 11:27:43,2.7059825
2026-04-01 11:32:00,2.7036312
2026-04-01 11:50:44,2.7032697
2026-04-01 12:05:27,2.7103229
2026-04-01 12:08:10,2.7012804
2026-04-01 12:18:24,2.6859088
