ts,value
2025-12-12 08:40:00,2.6554606
2025-12-12 09:22:50,2.6518338
2025-12-12 09:40:50,2.6916683
2026-01-09 18:09:40,2.705764
2026-01-09 18:58:30,2.6066694
2026-01-23 12:13:50,2.6154852
2026-01-23 13:46:20,2.6139872
2026-02-10 23:00:20,2.60099
2026-02-11 00:13:30,2.7247126
2026-02-11 02:46:40,2.7098613
2026-02-11 09:41:50,2.681958
2026-02-21 20:40:50,2.7706242
2026-02-23 18:14:50,2.7684286
2026-02-23 20:11:20,2.722838
2026-02-23 20:59:50,2.776925
2026-02-23 21:51:40,2.7704046
2026-02-23 22:06:30,2.7207952
2026-03-02 05:06:23,2.7127945
2026-03-02 05:20:15,2.722029
2026-03-02 05:31:05,2.719211
2026-03-02 05:36:45,2.70734355
2026-03-02 05:51:22,2.719172
2026-03-02 05:54:36,2.7211275
2026-03-02 06:25:03,2.6881156
2026-03-02 06:30:21,2.6886623
2026-03-02 06:36:19,2.7203193
2026-03-02 08:10:22,2.7890882
2026-03-02 08:22:22,2.7921166
2026-03-02 08:25:40,2.792082
2026-03-02 08:28:41,2.79191975
2026-03-02 08:31:31,2.79181025
2026-03-02 08:35:08,2.7915432
2026-03-02 08:38:01,2.789767
2026-03-02 08:53:30,2.7941325
2026-03-02 09:00:58,2.79759095
2026-03-02 09:06:50,2.7890769
2026-03-02 09:19:45,2.7641555
2026-03-02 09:26:21,2.78019345
2026-03-02 12:19:02,2.7537532
2026-03-02 12:59:12,2.7744312
2026-03-12 19:04:02,2.6888673
2026-03-12 19:11:00,2.6959662
2026-03-12 19:13:26,2.695063
2026-03-12 20:55:50,2.5973263
2026-03-15 19:04:58,2.5991826
2026-03-15 21:19:51,2.65837275
2026-03-15 21:38:29,2.6423306
2026-03-15 21:41:36,2.665973
2026-03-15 21:49:04,2.6910962
2026-03-15 21:55:39,2.6986442
2026-03-17 10:16:40,2.7
2026-03-18 01:32:10,2.6105647
2026-04-01 09:57:08,2.6698494
2026-04-01 10:01:28,2.6659539
2026-04-01 10:27:27,2.6623237
2026-04-01 11:27:43,2.6319807
2026-04-01 11:32:00,2.6365626
2026-04-01 11:50:44,2.63724435
2026-04-01 12:05:27,2.628335
2026-04-01 12:08:10,2.6164474
2026-04-01 12:18:24,2.5946336
