ts,value
2025-12-07 00:53:00,1.0619407
2025-12-10 08:40:50,1.0516745
2025-12-12 19:03:30,1.0541569
2025-12-14 06:35:10,1.060958
2025-12-14 08:03:40,1.0629771
2025-12-14 10:46:30,1.0607754
2025-12-14 11:36:20,1.0612068
2025-12-14 22:09:50,1.0547353
2025-12-17 11:01:00,1.0594386
2025-12-17 11:26:40,1.0611134
2025-12-17 13:04:30,1.0615958
2025-12-17 14:32:50,1.0509285
2025-12-17 18:21:50,1.0578185
2025-12-19 11:13:50,1.0513238
2025-12-19 12:18:30,1.0564394
2025-12-27 20:53:50,1.0549437
2025-12-28 12:47:00,1.0587198
2025-12-28 14:05:40,1.0505372
2026-01-03 01:32:10,1.0555514
2026-01-07 05:15:00,1.0626675
2026-01-07 05:47:50,1.0645417
2026-01-07 07:32:20,1.0575858
2026-01-07 13:40:10,1.0638081
2026-01-14 11:17:40,1.0595888
2026-01-19 21:40:30,1.0641695
2026-01-20 04:54:50,1.0608478
2026-01-22 07:26:20,1.053501
2026-01-22 08:39:20,1.0548338
2026-01-27 06:24:40,1.0520197
2026-01-27 09:07:20,1.0644919
2026-01-27 13:16:30,1.059692
2026-01-30 11:23:50,1.0560209
2026-02-09 03:15:30,1.0609498
2026-02-09 03:53:50,1.0546011
2026-02-09 08:16:20,1.0613924
2026-02-10 12:55:24,1.06
2026-02-10 13:11:35,1.06
2026-02-10 14:21:00,1.06
2026-02-10 19:15:10,1.06
2026-02-15 10:47:30,1.0627954
2026-02-15 13:23:10,1.0575473
2026-02-20 06:30:30,1.0557678
2026-02-20 07:29:40,1.0631832
2026-02-20 10:48:20,1.0587145
2026-02-26 11:47:40,1.0621653
2026-02-26 11:58:04,1.0593842
2026-02-26 12:17:01,1.0594039
2026-02-26 12:21:31,1.0593376
2026-02-28 06:02:33,1.0605971
2026-02-28 06:09:30,1.061646
2026-02-28 06:12:29,1.0617089
2026-02-28 06:17:24,1.0604653
2026-02-28 06:25:07,1.0587187
2026-02-28 06:34:20,1.0530133
2026-02-28 06:50:46,1.0589802
2026-02-28 06:54:36,1.0601186
2026-02-28 07:03:02,1.0611027
2026-02-28 07:08:10,1.05871225
2026-02-28 07:11:00,1.0570657
2026-02-28 07:14:27,1.0558708
2026-02-28 07:18:06,1.05374935
2026-02-28 07:20:57,1.0506713
2026-02-28 07:29:50,1.0526196
2026-02-28 07:36:27,1.0590618
2026-02-28 07:46:43,1.060088
2026-02-28 07:49:22,1.0592116
2026-02-28 07:54:53,1.0580814
2026-02-28 08:03:05,1.055919
2026-02-28 08:07:08,1.0525643
2026-02-28 09:05:30,1.0526552
2026-02-28 09:08:21,1.0563145
2026-02-28 09:10:53,1.0619867
2026-02-28 09:21:06,1.0636811
2026-02-28 09:24:14,1.0633191
2026-02-28 09:26:57,1.0629606
2026-02-28 09:30:32,1.06027405
2026-02-28 09:40:33,1.0567238
2026-02-28 09:44:24,1.0518023
2026-02-28 09:53:33,1.0544533
2026-02-28 10:01:34,1.0565863
2026-02-28 10:15:23,1.05068575
2026-02-28 21:10:42,1.0610472
2026-02-28 21:16:36,1.0600827
2026-02-28 21:21:57,1.0610492
2026-03-02 16:26:34,1.06
2026-03-02 18:58:00,1.0607346
2026-03-02 19:31:20,1.06
2026-03-02 19:35:27,1.06
2026-03-02 19:41:41,1.06
2026-03-02 21:11:01,1.0650519
2026-03-02 21:14:01,1.0628388
2026-03-02 21:18:27,1.0612161
2026-03-02 21:20:39,1.06
2026-03-02 21:42:04,1.06
2026-03-02 21:46:16,1.06
2026-03-02 21:49:55,1.06
2026-03-02 21:52:04,1.06
2026-03-02 21:58:17,1.06
2026-03-02 22:01:17,1.06
2026-03-02 22:06:31,1.06
2026-03-02 22:11:10,1.06
2026-03-02 22:14:40,1.06
2026-03-02 22:20:32,1.06
2026-03-02 22:42:58,1.06
2026-03-02 22:47:21,1.06
2026-03-02 22:57:57,1.061465
2026-03-02 23:05:35,1.0615747
2026-03-02 23:11:38,1.0614702
2026-03-02 23:16:02,1.0601679
2026-03-02 23:26:32,1.06
2026-03-02 23:35:43,1.06
2026-03-02 23:45:13,1.06
2026-03-02 23:48:48,1.06
2026-03-02 23:50:41,1.06
2026-03-02 23:53:41,1.06
