ts,value
2025-12-07 00:53:00,41.035984
2025-12-10 08:40:50,42.826492
2025-12-12 19:03:30,41.617615
2025-12-14 06:35:10,43.152683
2025-12-14 08:03:40,44.08306
2025-12-14 10:46:30,44.807266
2025-12-14 11:36:20,44.807266
2025-12-14 22:09:50,43.64478
2025-12-17 11:01:00,42.185246
2025-12-17 11:26:40,42.1928
2025-12-17 13:04:30,43.260086
2025-12-17 14:32:50,43.260086
2025-12-17 18:21:50,43.05563
2025-12-19 11:13:50,42.990772
2025-12-19 12:18:30,42.990772
2025-12-27 20:53:50,41.933113
2025-12-28 12:47:00,41.86396
2025-12-28 14:05:40,41.776478
2026-01-03 01:32:10,42.544044
2026-01-07 05:15:00,42.047672
2026-01-07 05:47:50,42.674885
2026-01-07 07:32:20,42.01689
2026-01-07 13:40:10,43.59643
2026-01-14 11:17:40,42.24652
2026-01-19 21:40:30,42.74382
2026-01-20 04:54:50,42.614597
2026-01-22 07:26:20,43.035664
2026-01-22 08:39:20,43.61821
2026-01-27 06:24:40,41.666386
2026-01-27 09:07:20,42.04214
2026-01-27 13:16:30,43.056084
2026-01-30 11:23:50,42.92417
2026-02-09 03:15:30,43.01104
2026-02-09 03:53:50,42.78616
2026-02-09 08:16:20,41.162838
2026-02-10 12:55:24,42.562134
2026-02-10 13:11:35,41.011223
2026-02-10 14:21:00,42.063217
2026-02-10 19:15:10,42.50326
2026-02-15 10:47:30,42.276333
2026-02-15 13:23:10,41.31422
2026-02-20 06:30:30,40.488792
2026-02-20 07:29:40,40.90435
2026-02-20 10:48:20,41.827522
2026-02-26 11:47:40,41.362183
2026-02-26 11:58:04,41.362183
2026-02-26 12:17:01,41.362183
2026-02-26 12:21:31,41.362183
2026-02-28 06:02:33,41.343216
2026-02-28 06:09:30,41.343216
2026-02-28 06:12:29,41.343216
2026-02-28 06:17:24,41.343216
2026-02-28 06:25:07,41.343216
2026-02-28 06:34:20,41.343216
2026-02-28 06:50:46,41.5791
2026-02-28 06:54:36,41.5791
2026-02-28 07:03:02,41.5791
2026-02-28 07:08:10,41.5791
2026-02-28 07:11:00,41.5791
2026-02-28 07:14:27,41.5791
2026-02-28 07:18:06,41.5791
2026-02-28 07:20:57,41.5791
2026-02-28 07:29:50,41.5791
2026-02-28 07:36:27,41.5791
2026-02-28 07:46:43,41.5791
2026-02-28 07:49:22,41.5791
2026-02-28 07:54:53,41.58448
2026-02-28 08:03:05,41.58448
2026-02-28 08:07:08,41.58448
2026-02-28 09:05:30,41.58448
2026-02-28 09:08:21,41.58448
2026-02-28 09:10:53,41.58448
2026-02-28 09:21:06,41.58448
2026-02-28 09:24:14,41.58448
2026-02-28 09:26:57,41.58448
2026-02-28 09:30:32,41.58448
2026-02-28 09:40:33,41.58448
2026-02-28 09:44:24,41.58448
2026-02-28 09:53:33,41.58448
2026-02-28 10:01:34,41.58448
2026-02-28 10:15:23,41.58448
2026-02-28 21:10:42,41.913864
2026-02-28 21:16:36,41.9321
2026-02-28 21:21:57,42.0412735
2026-03-02 16:26:34,42.792828
2026-03-02 18:58:00,42.722843
2026-03-02 19:31:20,42.722843
2026-03-02 19:35:27,42.722843
2026-03-02 19:41:41,42.722843
2026-03-02 21:11:01,42.722843
2026-03-02 21:14:01,42.722843
2026-03-02 21:18:27,42.722843
2026-03-02 21:20:39,42.722843
2026-03-02 21:42:04,42.722843
2026-03-02 21:46:16,42.722843
2026-03-02 21:49:55,42.722843
2026-03-02 21:52:04,42.722843
2026-03-02 21:58:17,42.722843
2026-03-02 22:01:17,42.722843
2026-03-02 22:06:31,42.722843
2026-03-02 22:11:10,42.722843
2026-03-02 22:14:40,42.722843
2026-03-02 22:20:32,42.722843
2026-03-02 22:42:58,42.722843
2026-03-02 22:47:21,42.722843
2026-03-02 22:57:57,42.722843
2026-03-02 23:05:35,42.722843
2026-03-02 23:11:38,42.722843
2026-03-02 23:16:02,42.722843
2026-03-02 23:26:32,42.722843
2026-03-02 23:35:43,42.722843
2026-03-02 23:45:13,42.722843
2026-03-02 23:48:48,42.722843
